"date","state_abbr","data_timestamp","data_type","posres_nh","probposres_nh","deathres_nh","probdeathres_nh","posstaff_nh","probposstaff_nh","deathstaff_nh","probdeathstaff_nh","posresstaff_nh","probposresstaff_nh","deathresstaff_nh","probdeathresstaff_nh","outbrkfac_nh","testedfac_nh","outrkfactestsconducted_nh","testedres_nh","testedstaff_nh","posres_alf","probposres_alf","deathres_alf","probdeathres_alf","posstaff_alf","probposstaff_alf","deathstaff_alf","probdeathstaff_alf","posresstaff_alf","probposresstaff_alf","deathresstaff_alf","probdeathresstaff_alf","outbrkfac_alf","testedfac_alf","outrkfactestsconducted_alf","testedres_alf","testedstaff_alf","posres_ltc","probposres_ltc","deathres_ltc","probdeathres_ltc","posstaff_ltc","probposstaff_ltc","deathstaff_ltc","probdeathstaff_ltc","posresstaff_ltc","probposresstaff_ltc","deathresstaff_ltc","probdeathresstaff_ltc","outbrkfac_ltc","testedfac_ltc","outrkfactestsconducted_ltc","testedres_ltc","testedstaff_ltc","posres_other","probposres_other","deathres_other","probdeathres_other","posstaff_other","probposstaff_other","deathstaff_other","probdeathstaff_other","posresstaff_other","probposresstaff_other","deathresstaff_other","probdeathresstaff_other","outbrkfac_other","testedfac_other","outrkfactestsconducted_other","testedres_other","testedstaff_other","posres_lumpedother","probposres_lumpedother","deathres_lumpedother","probdeathres_lumpedother","posstaff_lumpedother","probposstaff_lumpedother","deathstaff_lumpedother","probdeathstaff_lumpedother","posresstaff_lumpedother","probposresstaff_lumpedother","deathresstaff_lumpedother","probdeathresstaff_lumpedother","outbrkfac_lumpedother","testedfac_lumpedother","outrkfactestsconducted_lumpedother","testedres_lumpedotherer","testedstaff_lumpedother"
20200521,"KY",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1061,,211,,488,,2,,,,,,103,,,,,,,,,,,,,,,,,,,,,,1061,,211,,488,,2,,,,,,103,,,,
20200528,"KY",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1185,,239,,563,,2,,,,,,120,,,,,,,,,,,,,,,,,,,,,,1185,,239,,563,,2,,,,,,120,,,,
20200604,"KY",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1384,,283,,639,,2,,,,,,133,,,,,,,,,,,,,,,,,,,,,,1384,,283,,639,,2,,,,,,133,,,,
20200611,"KY",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1457,,307,,705,,3,,,,,,145,,,,,,,,,,,,,,,,,,,,,,1457,,307,,705,,3,,,,,,145,,,,
20200618,"KY",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1577,,331,,754,,3,,,,,,162,,,,,,,,,,,,,,,,,,,,,,1577,,331,,754,,3,,,,,,162,,,,
20200625,"KY",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1780,,347,4,849,,3,,,,,,176,,,,,,,,,,,,,,,,,,,,,,1780,,347,4,849,,3,,,,,,176,,,,
20200702,"KY",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1952,,380,,965,,3,,,,,,184,,,,,,,,,,,,,,,,,,,,,,1952,,380,,965,,3,,,,,,184,,,,
20200709,"KY",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2072,,394,3,1033,,3,,,,,,197,,,,,,,,,,,,,,,,,,,,,,2072,,394,3,1033,,3,,,,,,197,,,,
20200716,"KY",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2180,,407,4,1150,,3,,,,,,224,,,,,,,,,,,,,,,,,,,,,,2180,,407,4,1150,,3,,,,,,224,,,,
20200723,"KY",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2296,,442,6,1249,,4,,,,,,238,,,,,,,,,,,,,,,,,,,,,,2296,,442,6,1249,,4,,,,,,238,,,,
20200730,"KY",,"Aggregate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2442,,467,6,1352,,4,,,,,,253,,,,,,,,,,,,,,,,,,,,,,2442,,467,6,1352,,4,,,,,,253,,,,
20200806,"KY",,"Aggregate",2508,,464,,1394,,4,,,,,,203,,,,,19,,3,,42,,0,,,,,,27,,,,,,,,,,,,,,,,,,,,,,154,,10,,79,,0,,,,,,31,,,,,154,,10,,79,,0,,,,,,31,,,,
20200813,"KY",,"Aggregate",2663,,478,,1524,,4,,,,,,214,,,,,30,,4,,46,,0,,,,,,32,,,,,,,,,,,,,,,,,,,,,,175,,10,,93,,0,,,,,,35,,,,,175,,10,,93,,0,,,,,,35,,,,
